(0xc0500101, 0x07949d2b)
(0xc2101081, 0x06335426)
(0xc0001981, 0x063a5024)
(0xc0101185, 0x06325424)
(0xa0040100, 0x26281c42)
(0x00442010, 0x26080ce2)
(0xc0045188, 0x06785422)
(0xc0244180, 0x06685c22)
(0xc0044180, 0x06785c22)
(0xa2040904, 0x26281840)
(0xa0050900, 0x27281842)
(0x02442814, 0x260808e0)
(0x00452810, 0x270808e2)
(0x82040810, 0x662808e2)
(0xc204598c, 0x06785020)
(0xc2244984, 0x06685820)
(0xc0055988, 0x07785022)
(0xc0254980, 0x07685822)
(0x02040800, 0x262858e2)
(0x82040900, 0x26285862)
(0xc87d8281, 0x43000ca2)
(0x687d03c1, 0x43004c02)
(0xc87cc085, 0x42400da0)
(0x687c41c5, 0x42404d00)
(0xc8bc2184, 0x82204d20)
(0x081c2005, 0x22204de0)
(0x881c2105, 0x22204d60)
(0xca3c2381, 0x02204c22)
(0x48146000, 0x83b48da3)
(0xc8544000, 0xc3948da3)
(0x40146000, 0x87b48da3)
(0xc0544000, 0xc7948da3)
(0xc8540111, 0x03949d23)
(0xc0540111, 0x07949d23)
(0xca146180, 0x82b40d23)
(0xc2146180, 0x86b40d23)
(0x051c5801, 0x2110c123)
(0x8c165801, 0x2110c1a6)
(0x06404803, 0x408a0122)
